City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Gulbene,0,LV,2019-07-07 03:33:11,95,57.18,26.75,46.34,0.69
Strezhevoy,99,RU,2019-07-07 03:33:12,93,60.73,77.6,58.98,2.0
Hay River,75,CA,2019-07-07 03:33:12,93,60.82,-115.79,58.98,3.6
Tizimin,17,MX,2019-07-07 03:33:12,83,21.14,-88.15,77.41,2.25
Isangel,75,VU,2019-07-07 03:33:13,78,-19.55,169.27,80.58,5.1
Bosaso,55,SO,2019-07-07 03:33:13,58,11.28,49.18,90.29,6.45
Torbay,90,CA,2019-07-07 03:33:14,72,47.66,-52.73,64.38,6.7
Buala,100,SB,2019-07-07 03:33:15,76,-8.15,159.59,84.12,6.86
Rikitea,100,PF,2019-07-07 03:33:15,86,-23.12,-134.97,68.05,10.95
Vaini,75,IN,2019-07-07 03:33:15,94,15.34,74.49,73.38,6.2
Saint-Georges,0,CA,2019-07-07 03:33:16,71,46.12,-70.67,61.99,3.45
Nanakuli,40,US,2019-07-07 03:33:16,65,21.39,-158.15,87.78,6.2
Castro,0,CL,2019-07-07 03:33:16,93,-42.48,-73.76,40.98,3.1
Ushuaia,40,AR,2019-07-07 03:33:17,86,-54.81,-68.31,37.38,9.8
Severo-Kurilsk,20,RU,2019-07-07 03:33:17,92,50.68,156.12,45.11,4.49
Saint George,0,GR,2019-07-07 03:32:31,77,39.45,22.34,77.99,0.42
Kaeo,89,NZ,2019-07-07 03:33:18,70,-35.1,173.78,55.97,0.45
Hermanus,100,ZA,2019-07-07 03:33:18,91,-34.42,19.24,56.98,4.02
Hithadhoo,100,MV,2019-07-07 03:33:19,69,-0.6,73.08,83.96,3.2
Kavieng,92,PG,2019-07-07 03:33:19,71,-2.57,150.8,83.38,4.35
Redcar,100,GB,2019-07-07 03:33:19,87,54.62,-1.06,51.98,1.0
Boende,74,CD,2019-07-07 03:33:20,91,-0.28,20.88,71.92,0.74
Miri,100,NG,2019-07-07 03:33:20,79,10.31,9.75,73.75,1.87
Nikolskoye,40,RU,2019-07-07 03:33:20,87,59.7,30.79,52.99,2.0
Chernyshevskiy,93,RU,2019-07-07 03:33:21,62,63.01,112.47,73.48,4.14
Yellowknife,90,CA,2019-07-07 03:33:21,87,62.45,-114.38,58.98,4.1
Jamestown,78,AU,2019-07-07 03:33:21,77,-33.21,138.6,57.8,3.38
Ponta do Sol,0,BR,2019-07-07 03:33:22,73,-20.63,-46.0,44.61,0.6
San Jeronimo,62,PE,2019-07-07 03:33:22,93,-13.65,-73.37,48.23,1.6
Tasiilaq,0,GL,2019-07-07 03:33:22,66,65.61,-37.64,31.98,3.6
Lima,90,PE,2019-07-07 03:29:21,88,-12.06,-77.04,62.58,6.2
Okato,94,NZ,2019-07-07 03:33:23,93,-39.19,173.88,55.97,6.26
Arraial do Cabo,1,BR,2019-07-07 03:33:24,75,-22.97,-42.02,64.84,8.67
Kapaa,1,US,2019-07-07 03:31:17,70,22.08,-159.32,84.18,4.6
New Norfolk,75,AU,2019-07-07 03:33:24,66,-42.78,147.06,59.99,4.6
Faanui,16,PF,2019-07-07 03:33:25,85,-16.48,-151.75,77.26,9.34
Port Elizabeth,90,US,2019-07-07 03:33:26,94,39.31,-74.98,75.97,2.43
Alofi,30,NU,2019-07-07 03:33:26,78,-19.06,-169.92,76.98,5.7
Dikson,0,RU,2019-07-07 03:33:27,88,73.51,80.55,35.43,7.91
Georgetown,20,GY,2019-07-07 03:33:27,100,6.8,-58.16,73.38,2.1
Albany,75,US,2019-07-07 03:31:23,88,42.65,-73.75,73.97,1.5
Constitucion,75,MX,2019-07-07 03:33:28,22,23.99,-104.67,76.98,3.6
Atuona,86,PF,2019-07-07 03:33:28,79,-9.8,-139.03,80.12,8.55
Praia,0,BR,2019-07-07 03:33:29,71,-20.25,-43.81,49.98,1.35
Avarua,1,CK,2019-07-07 03:33:08,60,-21.21,-159.78,73.38,5.1
Luganville,75,VU,2019-07-07 03:33:29,78,-15.51,167.18,80.58,4.6
Bay Roberts,90,CA,2019-07-07 03:33:30,72,47.58,-53.28,64.38,6.7
Cidreira,96,BR,2019-07-07 03:33:30,65,-30.17,-50.22,47.72,3.92
Busselton,83,AU,2019-07-07 03:33:31,73,-33.64,115.35,58.98,8.83
Guanica,40,PR,2019-07-07 03:31:28,83,17.97,-66.91,80.98,3.1
Luwuk,1,ID,2019-07-07 03:32:01,59,-0.95,122.79,71.68,2.71
Barcelos,21,BR,2019-07-07 03:30:07,88,-0.97,-62.93,74.22,1.34
Punta Arenas,0,CL,2019-07-07 03:33:32,93,-53.16,-70.91,40.98,8.7
Port Lincoln,0,AU,2019-07-07 03:31:31,70,-34.72,135.86,58.06,6.98
Newport,90,GB,2019-07-07 03:33:33,93,51.59,-3.0,60.98,4.1
Russell,1,US,2019-07-07 03:33:33,78,38.9,-98.86,75.97,2.6
Oppdal,100,NO,2019-07-07 03:33:33,89,62.6,9.69,41.05,0.57
Kruisfontein,100,ZA,2019-07-07 03:33:34,83,-34.0,24.73,55.5,11.86
Port Alfred,94,ZA,2019-07-07 03:33:34,93,-33.59,26.89,55.97,4.47
Vitim,17,RU,2019-07-07 03:33:34,34,59.44,112.57,83.8,2.7
Tura,100,RU,2019-07-07 03:29:56,93,64.27,100.22,54.53,1.63
Pucallpa,75,PE,2019-07-07 03:33:35,88,-8.38,-74.54,64.38,6.2
Antofagasta,40,CL,2019-07-07 03:31:07,82,-23.65,-70.4,55.38,2.6
Hambantota,75,LK,2019-07-07 03:33:36,74,6.12,81.12,87.78,7.2
Ilulissat,51,GL,2019-07-07 03:33:37,70,69.22,-51.1,42.78,2.1
Kodiak,40,US,2019-07-07 03:33:40,53,39.95,-94.76,78.98,2.4
Tabou,86,CI,2019-07-07 03:33:14,88,4.42,-7.36,72.85,1.92
Norman Wells,75,CA,2019-07-07 03:33:40,51,65.28,-126.83,60.78,4.6
Riyadh,0,SA,2019-07-07 03:33:41,13,24.63,46.72,84.18,0.6
Grand Gaube,40,MU,2019-07-07 03:32:31,78,-20.01,57.66,72.98,2.6
Charleville,75,AU,2019-07-07 03:33:42,46,-26.41,146.24,71.58,2.1
Barrow,0,AR,2019-07-07 03:33:42,75,-38.31,-60.23,39.52,4.05
Puerto Ayora,38,EC,2019-07-07 03:33:33,91,-0.74,-90.35,69.98,0.89
Namibe,0,AO,2019-07-07 03:33:43,89,-15.19,12.15,68.62,0.98
Yeniseysk,35,RU,2019-07-07 03:33:44,50,58.45,92.17,75.46,1.25
Mahibadhoo,100,MV,2019-07-07 03:33:44,68,3.78,72.97,84.46,3.22
Souillac,75,FR,2019-07-07 03:33:45,93,45.6,-0.6,66.97,1.5
Hilo,90,US,2019-07-07 03:33:45,61,19.71,-155.08,82.38,4.6
Tazmalt,75,DZ,2019-07-07 03:33:46,66,36.39,4.4,84.18,4.1
Atchison,1,US,2019-07-07 03:33:46,78,39.56,-95.12,79.99,2.1
Szentlorinckata,0,HU,2019-07-07 03:33:46,94,47.52,19.75,71.58,2.1
Springbok,90,ZA,2019-07-07 03:33:47,76,-29.67,17.88,49.98,2.1
Bethel,1,US,2019-07-07 03:33:47,30,60.79,-161.76,94.98,4.85
Lorengau,66,PG,2019-07-07 03:33:48,78,-2.02,147.27,82.19,3.75
Serenje,0,ZM,2019-07-07 03:33:48,62,-13.23,30.22,50.15,1.75
Longyearbyen,0,NO,2019-07-07 03:33:49,71,78.22,15.63,53.58,1.0
Bonfim,65,GY,2019-07-07 03:33:49,75,3.36,-59.84,78.29,3.04
Prince Rupert,40,CA,2019-07-07 03:33:49,93,54.32,-130.32,57.18,2.6
Petropavlovsk-Kamchatskiy,75,RU,2019-07-07 03:33:50,76,53.05,158.65,55.38,4.0
Hobart,75,AU,2019-07-07 03:33:50,66,-42.88,147.33,59.99,4.6
Hobyo,100,SO,2019-07-07 03:33:50,73,5.35,48.53,77.82,6.29
Ruthin,58,GB,2019-07-07 03:33:51,87,53.11,-3.31,53.98,1.5
Ban Nahin,100,LA,2019-07-07 03:33:52,94,18.24,104.21,77.71,1.25
Vila Velha,40,BR,2019-07-07 03:33:52,74,-3.71,-38.6,78.98,1.5
Yima,42,CN,2019-07-07 03:33:52,39,34.75,111.87,79.01,4.0
Ribeira Grande,80,PT,2019-07-07 03:33:53,91,38.52,-28.7,70.46,6.99
Vanimo,100,PG,2019-07-07 03:29:18,73,-2.67,141.3,81.87,2.63
Hovd,90,NO,2019-07-07 03:33:53,87,63.83,10.7,50.99,2.1
Scarborough,44,GB,2019-07-07 03:33:54,81,54.28,-0.41,55.97,1.5
Mataura,100,NZ,2019-07-07 03:33:54,84,-46.19,168.86,48.97,10.28
Kenai,1,US,2019-07-07 03:33:07,72,60.55,-151.26,78.78,3.6
Lugovoy,7,RU,2019-07-07 03:33:55,69,59.72,65.88,61.19,4.48
Hurricane,1,US,2019-07-07 03:33:55,9,37.18,-113.29,93.18,5.1
Bredasdorp,77,ZA,2019-07-07 03:33:56,82,-34.53,20.04,58.98,5.7
Geraldton,20,CA,2019-07-07 03:33:56,62,49.72,-86.95,57.18,1.22
Puebloviejo,75,CO,2019-07-07 03:33:56,74,10.99,-74.28,84.18,6.29
Blackwater,84,GB,2019-07-07 03:33:57,82,51.33,-0.78,62.98,2.6
Ubala,80,YE,2019-07-07 03:33:58,55,13.89,44.44,72.44,1.21
Cape Town,20,ZA,2019-07-07 03:27:26,82,-33.93,18.42,57.18,3.6
Monterey,40,US,2019-07-07 03:31:01,72,36.6,-121.89,65.98,4.6
Puerto Baquerizo Moreno,100,EC,2019-07-07 03:33:59,90,-0.9,-89.6,71.59,4.59
Zhigansk,97,RU,2019-07-07 03:33:59,46,66.77,123.37,63.82,2.46
Da Lat,61,VN,2019-07-07 03:34:00,61,11.95,108.44,81.71,1.49
Abonnema,100,NG,2019-07-07 03:34:00,90,4.71,6.79,75.75,5.65
Malatya,0,TR,2019-07-07 03:34:01,55,38.35,38.32,64.38,3.23
Ostrovnoy,0,RU,2019-07-07 03:34:01,83,68.05,39.51,44.36,7.14
Tilichiki,100,RU,2019-07-07 03:34:01,80,60.47,166.1,51.16,1.45
Gravdal,100,NO,2019-07-07 03:34:02,81,59.79,5.78,52.99,7.7
Carhuamayo,97,PE,2019-07-07 03:34:02,87,-10.92,-76.06,35.72,2.96
Bluff,85,AU,2019-07-07 03:34:03,58,-23.58,149.07,72.37,8.02
Tuatapere,100,NZ,2019-07-07 03:34:03,84,-46.13,167.69,48.97,10.28
Qaanaaq,76,GL,2019-07-07 03:34:03,63,77.48,-69.36,44.36,1.63
Lebu,90,ET,2019-07-07 03:34:04,87,8.96,38.73,55.38,7.2
Clyde River,75,CA,2019-07-07 03:31:52,93,70.47,-68.59,37.38,1.5
Evansville,1,US,2019-07-07 03:29:57,88,37.97,-87.56,78.78,3.1
Carnarvon,31,ZA,2019-07-07 03:34:05,87,-30.97,22.13,45.8,7.88
Stuttgart,20,DE,2019-07-07 03:32:18,82,48.78,9.18,65.98,1.0
Dovers,100,VC,2019-07-07 03:34:06,79,12.88,-61.18,80.97,4.6
Alyangula,0,AU,2019-07-07 03:34:06,37,-13.85,136.42,82.38,3.6
Esso,100,RU,2019-07-07 03:34:06,77,55.93,158.7,51.94,1.95
Mitoc,0,MD,2019-07-07 03:34:07,87,47.39,28.78,60.78,2.1
Davenda,100,RU,2019-07-07 03:34:07,31,53.56,119.32,74.69,3.87
Matay,0,EG,2019-07-07 03:34:08,66,28.42,30.79,71.77,3.86
Tuktoyaktuk,90,CA,2019-07-07 03:34:08,86,69.44,-133.03,40.98,10.3
Gadarwara,100,IN,2019-07-07 03:34:08,90,22.92,78.78,76.02,4.9
Coquimbo,100,CL,2019-07-07 03:32:58,87,-29.95,-71.34,55.38,1.5
Aksarayskiy,0,RU,2019-07-07 03:34:09,56,46.79,48.01,71.58,3.0
Iqaluit,75,CA,2019-07-07 03:34:09,93,63.75,-68.52,42.78,1.0
Airai,47,TL,2019-07-07 03:34:10,43,-8.93,125.41,81.76,1.49
Klaksvik,93,FO,2019-07-07 03:34:10,75,62.23,-6.59,46.38,8.2
Kirakira,100,SB,2019-07-07 03:34:11,84,-10.46,161.92,81.47,7.43
Hualmay,17,PE,2019-07-07 03:34:11,88,-11.1,-77.61,63.08,5.57
Bisira,100,PA,2019-07-07 03:34:11,88,8.52,-81.71,72.71,1.21
Xuddur,100,SO,2019-07-07 03:34:12,86,4.12,43.89,71.32,7.02
Ciudad Bolivar,10,VE,2019-07-07 03:34:12,75,8.12,-63.55,80.65,4.98
Alegrete,0,BR,2019-07-07 03:34:13,83,-29.79,-55.79,35.77,1.66
Thompson,40,CA,2019-07-07 03:31:24,55,55.74,-97.86,66.18,1.5
Oranjemund,0,ZA,2019-07-07 03:34:13,86,-28.55,16.43,55.64,4.35
Kota Tinggi,75,MY,2019-07-07 03:34:14,74,1.73,103.9,87.78,1.0
Bambous Virieux,40,MU,2019-07-07 03:34:14,78,-20.34,57.76,72.98,2.6
Bulawayo,0,ZW,2019-07-07 03:34:15,47,-20.16,28.59,44.11,0.5
Pangody,96,RU,2019-07-07 03:34:15,51,65.85,74.49,59.26,8.11
Salalah,75,OM,2019-07-07 03:34:15,83,17.01,54.1,84.18,2.6
Victoria,75,BN,2019-07-07 03:34:16,70,5.28,115.24,88.99,1.5
Sombrerete,79,MX,2019-07-07 03:34:16,31,23.63,-103.64,68.87,2.92
Pevek,0,RU,2019-07-07 03:34:17,66,69.7,170.27,49.52,7.26
Nome,1,US,2019-07-07 03:34:17,100,30.04,-94.42,83.98,2.92
Radom,95,PL,2019-07-07 03:34:18,99,51.4,21.15,63.98,2.76
San Patricio,0,PY,2019-07-07 03:34:18,79,-26.98,-56.83,37.07,1.87
Ayagoz,45,KZ,2019-07-07 03:34:19,24,47.96,80.43,83.29,4.56
Margate,75,AU,2019-07-07 03:34:19,66,-43.03,147.26,59.99,4.6
Pandan,1,PH,2019-07-07 03:34:20,72,11.72,122.09,84.41,3.65
Nishihara,90,JP,2019-07-07 03:34:20,88,35.74,139.53,71.98,5.1
Peniche,40,PT,2019-07-07 03:34:20,93,39.36,-9.38,67.98,1.5
Upernavik,68,GL,2019-07-07 03:34:21,72,72.79,-56.15,44.47,1.7
Santa Maria,0,BR,2019-07-07 03:34:21,62,-16.02,-48.01,58.98,2.6
Mahebourg,40,MU,2019-07-07 03:34:21,78,-20.41,57.7,72.98,2.6
Ketchikan,1,US,2019-07-07 03:34:22,53,55.34,-131.65,75.18,5.1
San Luis,100,AR,2019-07-07 03:34:22,55,-33.3,-66.34,49.25,3.97
Arraias,36,BR,2019-07-07 03:34:22,51,-12.93,-46.94,73.81,2.57
Esperance,0,AU,2019-07-07 03:34:23,72,-33.86,121.89,58.98,5.1
Polonnaruwa,99,LK,2019-07-07 03:34:23,47,7.94,81.0,88.69,6.08
Atar,32,MR,2019-07-07 03:34:24,32,20.52,-13.05,87.11,3.69
Pierre,20,US,2019-07-07 03:34:24,88,44.37,-100.35,70.99,1.5
Olkhovka,74,RU,2019-07-07 03:34:25,72,53.21,60.61,60.13,0.87
Loandjili,5,CG,2019-07-07 03:34:25,87,-4.77,11.87,72.91,4.02
Saldanha,0,PT,2019-07-07 03:34:25,88,41.42,-6.55,59.87,0.89
Fairbanks,1,US,2019-07-07 03:31:21,32,64.84,-147.72,82.97,1.5
La Ronge,75,CA,2019-07-07 03:33:18,55,55.1,-105.3,66.18,2.1
Sao Joao da Barra,1,BR,2019-07-07 03:34:26,83,-21.64,-41.05,54.38,0.81
Butaritari,53,KI,2019-07-07 03:34:27,69,3.07,172.79,84.57,3.81
East London,20,ZA,2019-07-07 03:34:27,67,-33.02,27.91,60.78,10.3
Komsomolskiy,0,RU,2019-07-07 03:34:28,51,67.55,63.78,52.93,7.93
Narsingdi,75,BD,2019-07-07 03:34:28,83,23.92,90.7,84.18,2.6
Gizo,75,IL,2019-07-07 03:34:28,83,31.8,34.94,76.98,3.6
Morondava,7,MG,2019-07-07 03:34:29,79,-20.3,44.28,70.89,4.32
Ust-Maya,100,RU,2019-07-07 03:34:29,60,60.42,134.54,64.97,2.56
Pangnirtung,100,CA,2019-07-07 03:34:30,86,66.15,-65.72,43.87,0.19
Charters Towers,100,AU,2019-07-07 03:34:30,76,-20.07,146.27,70.46,4.01
Crestview,1,US,2019-07-07 03:31:00,83,30.76,-86.57,84.97,2.1
Cayenne,0,GF,2019-07-07 03:34:31,94,4.94,-52.33,75.18,0.5
San Quintin,74,PH,2019-07-07 03:34:31,68,17.54,120.52,85.16,4.72
College,1,US,2019-07-07 03:34:31,32,64.86,-147.8,84.18,1.5
Epiniana,0,GR,2019-07-07 03:34:32,80,39.14,21.61,58.98,1.39
Egvekinot,0,RU,2019-07-07 03:34:32,56,66.32,-179.17,58.51,3.87
Thunder Bay,90,CA,2019-07-07 03:31:39,93,48.41,-89.26,58.98,2.1
Lumberton,1,US,2019-07-07 03:34:33,100,30.27,-94.2,82.97,1.48
Tanout,37,NE,2019-07-07 03:34:33,38,14.97,8.88,89.81,7.22
Amot,74,NO,2019-07-07 03:34:34,93,59.57,7.99,47.98,1.93
Shelburne,1,CA,2019-07-07 03:30:02,60,44.08,-80.2,75.97,2.1
Portland,75,US,2019-07-07 03:30:15,88,43.66,-70.25,73.97,4.1
Kerema,2,PG,2019-07-07 03:34:35,84,-7.96,145.78,78.97,2.82
Mitsamiouli,20,KM,2019-07-07 03:34:35,78,-11.38,43.28,73.38,3.1
Lengshuijiang,100,CN,2019-07-07 03:34:36,97,27.66,111.45,69.76,0.25
Chingirlau,81,KZ,2019-07-07 03:34:36,36,51.09,54.08,71.48,5.62
Oussouye,100,SN,2019-07-07 03:34:36,83,12.49,-16.54,77.8,4.62
Oistins,40,BB,2019-07-07 03:34:36,83,13.07,-59.53,80.58,4.1
Mount Gambier,75,AU,2019-07-07 03:34:37,93,-37.83,140.78,55.38,5.1
Abu Dhabi,0,AE,2019-07-07 03:30:54,79,24.47,54.37,89.58,2.1
Manali,82,IN,2019-07-07 03:34:37,67,32.25,77.19,47.22,1.44
Pemba,40,MZ,2019-07-07 03:34:38,100,-12.97,40.52,69.78,4.1
Watertown,1,US,2019-07-07 03:30:36,72,44.9,-97.12,67.98,2.6
Itoman,75,JP,2019-07-07 03:34:39,94,26.12,127.67,78.78,1.5
Faya,20,SA,2019-07-07 03:34:28,68,18.39,42.45,69.78,2.1
Alice Springs,0,AU,2019-07-07 03:33:57,25,-23.7,133.88,73.38,2.6
Boves,90,FR,2019-07-07 03:34:39,87,49.85,2.39,59.99,1.5
Waipawa,0,NZ,2019-07-07 03:34:40,86,-39.94,176.59,47.98,4.92
Koslan,100,RU,2019-07-07 03:34:40,91,63.46,48.9,56.62,1.01
Abu Zabad,99,SD,2019-07-07 03:34:41,60,12.35,29.25,80.23,7.85
North Bend,1,US,2019-07-07 03:34:41,82,43.41,-124.22,63.98,5.1
Canavieiras,72,BR,2019-07-07 03:34:41,92,-15.68,-38.95,73.03,4.18
Monduli,98,TZ,2019-07-07 03:34:42,83,-3.3,36.45,64.55,1.74
Abadiania,0,BR,2019-07-07 03:34:42,57,-16.2,-48.71,51.78,5.7
Lucea,20,JM,2019-07-07 03:34:42,74,18.44,-78.17,84.18,4.6
Ancud,0,CL,2019-07-07 03:34:43,93,-41.87,-73.83,40.98,3.1
Abu Kamal,0,SY,2019-07-07 03:34:43,40,34.45,40.92,78.83,5.25
Lavrentiya,0,RU,2019-07-07 03:34:44,27,65.58,-170.99,74.49,3.35
Los Llanos de Aridane,0,ES,2019-07-07 03:31:21,68,28.66,-17.92,67.98,3.6
Broken Hill,75,AU,2019-07-07 03:34:44,63,-31.97,141.45,66.18,5.1
Ahipara,100,NZ,2019-07-07 03:34:36,55,-35.17,173.16,56.63,3.4
Nelson Bay,0,AU,2019-07-07 03:32:33,77,-32.72,152.14,67.98,2.1
Eirunepe,99,BR,2019-07-07 03:34:45,84,-6.66,-69.87,68.39,1.83
Inta,67,RU,2019-07-07 03:34:46,56,66.04,60.13,56.06,6.05
Turukhansk,100,RU,2019-07-07 03:34:46,95,65.8,87.96,60.43,3.4
Oktyabrskiy,75,RU,2019-07-07 03:34:47,87,55.61,37.97,51.98,3.0
Chuy,0,UY,2019-07-07 03:33:18,78,-33.69,-53.46,41.55,3.42
Mayo,40,CA,2019-07-07 03:34:33,31,63.59,-135.9,78.78,5.7
Zherdevka,0,RU,2019-07-07 03:34:53,85,51.84,41.47,53.23,4.66
Uaua,97,BR,2019-07-07 03:34:56,75,-9.84,-39.48,71.97,3.53
Tayu,75,JP,2019-07-07 03:34:59,74,35.06,136.67,85.98,3.6
Songjianghe,100,CN,2019-07-07 03:35:00,49,42.18,127.48,81.83,3.11
Sindou,100,BF,2019-07-07 03:35:00,79,10.66,-5.16,74.56,1.37
Saskylakh,100,RU,2019-07-07 03:35:01,93,71.97,114.09,43.39,2.75
Khudumelapye,0,BW,2019-07-07 03:35:01,20,-23.91,24.95,44.32,2.84
Fortuna,90,US,2019-07-07 03:32:30,82,40.6,-124.16,60.98,6.2
Port Blair,40,IN,2019-07-07 03:35:02,74,11.67,92.75,85.98,5.1
Romilly-sur-Seine,0,FR,2019-07-07 03:35:03,77,48.52,3.72,58.98,2.1
Truro,14,GB,2019-07-07 03:35:03,93,50.26,-5.05,60.98,2.1
Husavik,0,CA,2019-07-07 03:35:03,52,50.56,-96.99,64.97,1.71
Syasstroy,100,RU,2019-07-07 03:35:04,76,60.14,32.56,54.22,1.75
Pocatello,40,US,2019-07-07 03:34:57,40,42.87,-112.44,71.58,1.5
Sao Filipe,12,CV,2019-07-07 03:35:05,86,14.9,-24.5,72.82,9.09
Port-Gentil,99,GA,2019-07-07 03:35:05,87,-0.72,8.78,73.75,7.1
Pinega,100,RU,2019-07-07 03:35:06,95,64.7,43.39,56.96,1.46
Takoradi,100,GH,2019-07-07 03:31:07,92,4.89,-1.75,73.52,2.31
Smolenka,100,PL,2019-07-07 03:35:07,95,54.15,22.76,55.59,5.27
Donetsk,0,UA,2019-07-07 03:32:58,68,48.02,37.8,60.16,1.67
Bathsheba,40,BB,2019-07-07 03:35:08,83,13.22,-59.52,80.58,4.1
Walvis Bay,0,NA,2019-07-07 03:32:25,100,-22.95,14.51,57.18,1.5
Poum,0,MK,2019-07-07 03:35:08,78,41.28,20.71,58.07,0.46
Ahuimanu,1,US,2019-07-07 03:35:08,78,21.44,-157.84,87.78,5.7
Sao Miguel do Araguaia,9,BR,2019-07-07 03:35:09,47,-13.28,-50.16,66.75,2.51
Talcahuano,90,CL,2019-07-07 03:35:10,82,-36.72,-73.12,55.38,8.7
Kaitangata,67,NZ,2019-07-07 03:35:10,66,-46.28,169.85,49.98,8.49
Buchanan,62,LR,2019-07-07 03:35:11,81,5.88,-10.05,77.05,6.07
Darhan,100,MN,2019-07-07 03:35:11,68,49.49,105.92,66.35,4.34
Te Anau,100,NZ,2019-07-07 03:31:40,80,-45.41,167.72,45.15,4.66
Limbe,0,MW,2019-07-07 03:35:12,69,-15.81,35.05,54.71,1.46
Mackay,90,CA,2019-07-07 03:35:13,87,53.65,-115.58,58.98,1.0
Luderitz,0,NA,2019-07-07 03:35:13,58,-26.65,15.16,55.38,3.6
